Date,Returns
2020-04-21,0.007560061654112379
2020-04-22,0.013848955108287255
2020-04-23,-0.020544853554618197
2020-04-24,0.008279607298767054
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.04426396091387134
2020-04-28,0.002310352128268731
2020-04-29,0.026984153058118722
2020-04-30,-0.018475657741729903
2020-05-01,-0.03626438654275089
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,-0.005491257664790142
2020-05-05,0.008233771114046917
2020-05-06,-0.004315386509887769
2020-05-07,0.028535750942579298
2020-05-08,0.0027671326096399365
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,-0.011378409178007358
2020-05-12,-0.08173125477528874
2020-05-13,0.06676938448013717
2020-05-14,0.02522889859290911
2020-05-15,0.030691883160487505
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.005232970802289416
2020-05-19,-0.02994704133907579
2020-05-20,0.014943396154698467
2020-05-21,-0.0004734832785477997
2020-05-22,0.009409709663384069
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.019888871603466588
2020-05-27,0.024087680656792287
2020-05-28,0.0008175168172670365
2020-05-29,-0.015374469822015227
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0179826804284912
2020-06-02,0.0057455592392409395
2020-06-03,0.011725425731247907
2020-06-04,0.0038856603099824147
2020-06-05,0.018708659175335016
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0014358952005072334
2020-06-09,0.0013432755180399574
2020-06-10,0.0
2020-06-11,-0.060688145079524185
2020-06-12,0.0034711286762827177
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.029919838739391774
2020-06-16,0.013474449444462881
2020-06-17,0.00874830096416356
2020-06-18,0.0027492384194989223
2020-06-19,-0.0025085550393444513
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,-0.0038903853332963446
2020-06-23,0.0025628718176755267
2020-06-24,-0.029430810659615555
2020-06-25,0.015491256505573208
2020-06-26,-0.02237821644632345
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,-0.003730048431001843
2020-06-30,0.020856228737241418
2020-07-01,0.00043752116071438474
2020-07-02,0.013578995737858784
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.010404083731665749
2020-07-07,-0.015025149901775165
2020-07-08,0.015135937490858538
2020-07-09,-0.014776095081592775
2020-07-10,0.008409098592895238
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,-0.002756561769703104
2020-07-14,0.015770461999816923
2020-07-15,0.012856588644130695
2020-07-16,-0.002868301519831296
2020-07-17,0.03596004550725025
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,-0.013891611174475299
2020-07-21,0.0006779792604341204
2020-07-22,0.004324360307856383
2020-07-23,-0.007547892145878824
2020-07-24,-0.013103369418241972
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.008248504101820738
2020-07-28,-0.00810286032655545
2020-07-29,0.012020915548652516
2020-07-30,-0.007845642538967088
2020-07-31,0.0033652147145877475
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.008555563334434075
2020-08-04,-0.015494019479117448
2020-08-05,0.01927869588225297
2020-08-06,0.0001253951153495233
2020-08-07,0.010212072330738802
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,-0.013696184320554758
2020-08-11,0.011048113139422045
2020-08-12,0.006103899438933829
2020-08-13,-0.001161411569119994
2020-08-14,-0.001870611831108526
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.00605298431058573
2020-08-18,-0.004780740135169663
2020-08-19,0.0009336019228213244
2020-08-20,-0.010897219076328079
2020-08-21,0.001169890090655821
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.012610271429556254
2020-08-25,-0.0004919460554065026
2020-08-26,0.0015604773442343708
2020-08-27,0.004876429232136843
2020-08-28,0.0101381470050683
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,-0.011481191005097023
2020-09-01,0.003453133325589555
2020-09-02,0.01954888604746448
2020-09-03,-0.04272306810969728
2020-09-04,-0.02529467384871504
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,-0.021666461576451187
2020-09-09,0.013720025663476647
2020-09-10,-0.030573309732590117
2020-09-11,-0.003864510345313843
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.011338957411034882
2020-09-15,0.0014287390905713526
2020-09-16,0.0244326277463264
2020-09-17,-0.023980584994118533
2020-09-18,0.015421530920945172
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,-0.00782851389149209
2020-09-22,-0.00327431234557167
2020-09-23,-0.022466360273854458
2020-09-24,-0.006497270261447952
2020-09-25,0.02353481610136083
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.019619987178830362
2020-09-29,-0.006910422972613955
2020-09-30,0.01562547389462467
2020-10-01,0.007692634058030803
2020-10-02,0.0039006139742709276
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.018893813224385117
2020-10-06,-0.0013152431634329183
2020-10-07,0.02017742386140112
2020-10-08,0.020709681274192857
2020-10-09,0.011707981081833446
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.005421764736382169
2020-10-13,0.0384115006200051
2020-10-14,0.0013724033876509314
2020-10-15,0.009948413229959508
2020-10-16,0.01709780069032998
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,-0.034828845105095756
2020-10-20,0.01592408115085985
2020-10-21,-0.015765829097209222
2020-10-22,0.0003093983282012922
2020-10-23,0.003360291918628098
2020-10-24,0.0
2020-10-25,0.0
